Water System No.,Water System Name,Regulating Agency,County,Total Number of Service Connections,AC Name,AC Email,AC Phone,Arrearage Application,Aggregated Application,Aggregated PWSIDs,Residential Arrearage Accounts,New Residential Arrearage Accounts,Residential Arrearage Amount,New Residential Arrearage Amount,CommercialArrearage Accounts,New Commercial Arrearage Accounts,Commercial Arrearage Amount,New Commercial Arrearage Amount,Total Reported Arrearages,Administrative Costs,Total Max Allotment,Total Funding Request,Mailing Address Street 1,Mailing Address Street 2,"City, State, Zip",Completed on,Uploaded Files
3010079,EL TORO WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,9541,DENNIS CAFFERTY,DCAFFERTY@ETWD.COM,949-837-7050,Application Summary,No,N/A,636,105,65286.24,40817,41,13,28938.49,11213,52030.00,1560.90,53590.90,53590.9,24251 LOS ALISOS BLVD.,,"LAKE FOREST, CA 92630",11-10-2021,1052_CA3010079_439907_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3010079_439907_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3010079_439907_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3010079_439907_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3010079_439907_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710008,FALLBROOK PUD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,9132,JACK BEBEE,jackb@fpud.com,760-728-1125,Application Summary,No,N/A,173,123,26526.99,141584.83,0,3,0.00,5350.26,146935.09,4408.05,151343.14,146935.09,P.O. Box 2290,,"FALLBROOK, CA 92088",11-03-2021,1052_CA3710008_439705_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710008_439705_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710008_439705_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710008_439705_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710008_439705_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
2710001,ALCO WATER SERVICE,DISTRICT 05 - MONTEREY,MONTEREY,9118,THOMAS ADCOCK,tom@alcowater.com,831-424-0441,Application Summary,No,N/A,1876,1850,438354.72,469225.33,32,32,11325.83,14904.97,484130.30,14523.91,498654.21,498654.21,249 WILLIAMS ROAD,,"SALINAS, CA 93905",10-18-2021,1052_CA2710001_439545_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA2710001_439545_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA2710001_439545_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA2710001_439545_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA2710001_439545_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910079,"LYNWOOD-CITY, WATER DEPT.",DISTRICT 22 - ANGELES,LOS ANGELES,9112,LORRY HEMPE,LHEMPE@LYNWOOD.CA.US,310-603-0220,Application Summary,No,N/A,1390,1102,399889.35,487030.14,199,185,186499.56,246638.26,733668.40,22010.05,755678.45,755678.45,11330 Bullis Road,,"LYNWOOD, CA 90262",10-28-2021,1052_CA1910079_439571_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910079_439571_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910079_439571_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910079_439571_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910079_439571_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3010017,LAGUNA BEACH COUNTY WD,DISTRICT 08 - SANTA ANA,ORANGE,8707,KEITH VAN DER MAATEN,KVanDerMaaten@lbcwd.org,949-494-1041,Application Summary,No,N/A,23,30,10361.85,16718.67,1,1,728.74,728.74,17447.41,523.42,17970.83,17970.83,P.O.Box 987,,"LAGUNA BEACH, CA 92652",10-07-2021,1052_CA3010017_439420_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3010017_439420_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3010017_439420_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3010017_439420_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3010017_439420_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710016,RAINBOW MUNICIPAL WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,8317,TOM KENNEDY,tkennedy@rainbowmwd.com,760-728-1178,Application Summary,No,N/A,1758,899,1021348.36,852456.42,242,45,355206.46,134924.47,987380.89,29621.43,1017002.32,1002380.89,3707 Old Highway 395,,"FALLBROOK, CA 92028",10-21-2021,1052_CA3710016_439685_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710016_439685_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710016_439685_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710016_439685_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710016_439685_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1510006,EAST NILES CSD,DISTRICT 12 - VISALIA,KERN,8023,TIM RUIZ,truiz@eastnilescsd.org,661-871-2011,Application Summary,No,N/A,1025,1025,308969.18,308969.18,0,15,0.00,6059.95,315029.13,9450.87,324480.00,324480,P.O. BOX 6038,,"BAKERSFIELD, CA 93386",10-12-2021,1052_CA1510006_439220_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1510006_439220_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1510006_439220_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1510006_439220_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1510006_439220_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610005,LAKE ARROWHEAD CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,7885,CATHERINE CERRI,ccerri@lakearrowheadcsd.com,909-336-7102,Application Summary,Yes,CA3610005; CA3610045; CA3600087,291,363,147316.00,85100,6,5,3538.00,1338,86438.00,2593.14,89031.14,89031,P.O. Box 700,,"LAKE ARROWHEAD, CA 92352",10-14-2021,1052_CA3610005_439266_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610005_439266_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610005_439266_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610005_439266_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610005_439266_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1210009,HUMBOLDT C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,7670,TERRENCE WILLIAMS,twilliams@humboldtcsd.org,707-499-7974,Application Summary,No,N/A,486,435,145710.65,137990.76,9,8,8601.94,8497.24,146488.00,4394.64,150882.64,150882.64,P.O. BOX 158,,"CUTTEN, CA 95534",10-15-2021,1052_CA1210009_439607_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1210009_439607_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1210009_439607_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1210009_439607_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1210009_439607_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1510022,WEST KERN WATER DISTRICT,DISTRICT 12 - VISALIA,KERN,7340,WENDY ADAMS-ROSENBERGER,wendy@wkwd.org,661-763-3151,Application Summary,No,N/A,653,455,52190.18,34861.23,24,11,1184.60,975.29,35836.52,1075.10,36911.62,36911.62,P. O. BOX 1105,,"TAFT, CA 93268",11-15-2021,1052_CA1510022_439631_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1510022_439631_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1510022_439631_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1510022_439631_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1510022_439631_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710018,RINCON DEL DIABLO MWD (ID-1),DISTRICT 14 - SAN DIEGO,SAN DIEGO,7107,CLINT BAZE,CBAZE@RINCONWATER.ORG,760-745-5522,Application Summary,Yes,CA3710018; CA3710044,208,365,131842.63,137334.79,15,31,6087.72,13528.87,150863.66,4525.91,155389.57,155389.57,1920 N. IRIS LANE,,"ESCONDIDO, CA 92026",10-13-2021,1052_CA3710018_439494_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710018_439494_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710018_439494_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710018_439494_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710018_439494_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910013,BELLFLOWER - SOMERSET MWC,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,7087,STEVE LENTON,steve@bsmwc.com,562-866-9980,Application Summary,No,N/A,523,523,194101.17,194101.17,107,99,52457.50,42165.52,236266.69,7088.00,243354.69,243354.69,10016 FLOWER STREET,,"BELLFLOWER, CA 90706",10-28-2021,1052_CA1910013_439305_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910013_439305_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910013_439305_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910013_439305_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910013_439305_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610120,PHELAN PINON HILLS CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,7058,DON BARTZ,DBARTZ@PPHCSD.ORG,760-868-1212,Application Summary,No,N/A,333,335,129306.37,130978.73,0,0,0.00,0.00,130978.73,3929.36,134908.09,134908.09,P.O. BOX 294049,,"PHELAN, CA 92329",10-28-2021,1052_CA3610120_439747_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610120_439747_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610120_439747_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610120_439747_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610120_439747_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4910013,VALLEY OF THE MOON WATER DISTRICT,DISTRICT 18 - SONOMA,SONOMA,6993,MATT FULLNER,mfullner@vomwd.com,707-996-1037,Application Summary,No,N/A,469,523,131256.04,133753.37,12,13,6877.18,4638.89,138392.26,4151.77,142544.03,142544.03,P.O. Box 280,,"EL VERANO, CA 95433",10-11-2021,1052_CA4910013_439474_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4910013_439474_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4910013_439474_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4910013_439474_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4910013_439474_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710013,LAKESIDE WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,6955,BRETT SANDERS,LWDBSANDERS@SBCGLOBAL.NET,619-443-3805,Application Summary,No,N/A,208,118,55428.87,26192.35,0,3,0.00,185.17,26377.52,791.33,27168.85,27168.85,10375 Vine Street,,"LAKESIDE, CA 92040",10-20-2021,1052_CA3710013_439273_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710013_439273_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710013_439273_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710013_439273_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710013_439273_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4010001,"ARROYO GRANDE, WATER DEPARTMENT",DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,6834,SHANE TAYLOR,STAYLOR@ARROYOGRANDE.ORG,805-473-5464,Application Summary,No,N/A,180,73,100000.00,34025.75,6,8,11000.00,7224.37,41250.12,1237.50,42487.62,42487.62,300 EAST BRANCH STREET,,"ARROYO GRANDE, CA 93420",10-29-2021,1052_CA4010001_439369_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4010001_439369_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4010001_439369_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4010001_439369_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4010001_439369_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5010017,"PATTERSON, CITY OF",DISTRICT 10 - STOCKTON,STANISLAUS,6755,MIKE WILLETT,MWILLETT@CI.PATTERSON.CA.US,209-895-8065,Application Summary,No,N/A,357,240,107639.21,88696.61,3,1,496.41,431.10,89127.71,2673.83,91801.54,91801.54,1 PLAZA,,"PATTERSON, CA 95363",11-15-2021,1052_CA5010017_439964_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5010017_439964_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5010017_439964_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5010017_439964_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5010017_439964_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4110011,COASTSIDE COUNTY WATER DISTRICT,DISTRICT 17 - SANTA CLARA,SAN MATEO,6558,MARY ROGREN,mrogren@coastsidewater.org,650-276-0889,Application Summary,No,N/A,51,47,31972.00,27654.11,3,2,793.00,569.60,28223.71,846.71,29070.42,28223.71,766 Main Street,,"HALF MOON BAY, CA 94019",11-10-2021,1052_CA4110011_439602_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4110011_439602_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4110011_439602_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4110011_439602_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4110011_439602_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4410014,SAN LORENZO VALLEY WATER DIST,DISTRICT 05 - MONTEREY,SANTA CRUZ,6469,RICHARD ROGERS,rrogers@slvwd.com,831-430-4624,Application Summary,Yes,CA4410002; CA4410014,298,226,190180.31,162305.12,7,4,7876.97,7851.49,170156.61,5104.70,175261.31,175261.31,13060 HIGHWAY 9,,"BOULDER CREEK, CA 95006",10-15-2021,1052_CA4410014_439400_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4410014_439400_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4410014_439400_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4410014_439400_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4410014_439400_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1210001,"ARCATA, CITY OF",DISTRICT 01 - KLAMATH,HUMBOLDT,6224,EMILY SINKHORN,esinkhorn@cityofarcata.org,707-822-8184,Application Summary,Yes,CA1210001; CA1210021,276,191,75010.64,59717.23,19,11,27906.33,4962.82,64680.05,1940.40,66620.45,66620.45,736 F Street,,"ARCATA, CA 95521",11-03-2021,1052_CA1210001_439442_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1210001_439442_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1210001_439442_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1210001_439442_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1210001_439442_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
0710009,TOWN OF DISCOVERY BAY,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,6157,MADDIE KIBRIYA,mkibriya@todb.ca.gov,925-634-1131,Application Summary,No,N/A,643,302,76725.89,56265.25,0,0,0.00,0,56265.25,1687.96,57953.21,57953.21,1800 Willow Lake Road,,"DISCOVERY BAY, CA 94505",10-22-2021,1052_CA0710009_439624_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0710009_439624_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0710009_439624_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0710009_439624_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA0710009_439624_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610008,BIG BEAR CITY CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,6150,JERRY GRIFFITH,JGRIFFITH@BBCCSD.ORG,909-585-2565,Application Summary,No,N/A,76,57,32583.27,25008.15,0,0,0.00,0.00,25008.15,750.24,25758.39,25758.39,P.O. Box 558,,"BIG BEAR CITY, CA 92314",10-13-2021,1052_CA3610008_439469_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610008_439469_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610008_439469_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610008_439469_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610008_439469_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1210016,MCKINLEYVILLE C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,6101,PATRICK KASPARI,pkaspari@MCKINLEYVILLECSD.COM,707-839-3251,Application Summary,No,N/A,168,169,47746.22,47746.22,1,0,898.00,0,47746.22,1432.39,49178.61,47746.22,P.O. BOX 2037,,"MCKINLEYVILLE, CA 95519",10-07-2021,1052_CA1210016_439287_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1210016_439287_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1210016_439287_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1210016_439287_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1210016_439287_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1010027,"REEDLEY, CITY OF",DISTRICT 23 - FRESNO,FRESNO,5914,JOHN ORNELLAS,JOHN.ORNELLAS@REEDLEY.CA.GOV,559-637-4200,Application Summary,No,N/A,22,22,6391.55,6391.55,6,6,1679.09,1679.09,8070.64,242.12,8312.76,8312.76,1733 9TH STREET,,"REEDLEY, CA 93654",11-05-2021,1052_CA1010027_440008_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1010027_440008_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1010027_440008_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1010027_440008_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1010027_440008_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
5610009,PORT HUENEME WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,5846,MIKE OAKLEY,moakley@cityofporthueneme.org,805-986-6566,Application Summary,No,N/A,602,602,229278.27,275281.14,6,6,2617.27,2275.54,277556.68,8326.70,285883.38,285883.38,250 North Ventura Road,,"PORT HUENEME, CA 93041",11-08-2021,1052_CA5610009_439697_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA5610009_439697_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA5610009_439697_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA5610009_439697_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA5610009_439697_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610013,"LOMA LINDA, CITY OF",DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,5680,JARB THAIPJER,JTHAIPEJR@LOMALINDA-CA.GOV,909-799-4401,Application Summary,No,N/A,339,217,70885.60,75939.59,9,7,997.03,3988.32,79927.91,2397.84,82325.75,82325.75,25541 BARTON ROAD,,"LOMA LINDA, CA 92354",11-04-2021,1052_CA3610013_439924_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610013_439924_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610013_439924_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610013_439924_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610013_439924_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4010011,MORRO BAY PW DEPT - WATER DIVISION,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,5421,DAMARIS HANSON,dhanson@morrobayca.gov,805-772-6265,Application Summary,No,N/A,281,248,212213.53,197838.08,21,16,13075.68,19285.29,217123.37,6513.70,223637.07,203773.22,955 Shasta Avenue,,"MORRO BAY, CA 93442",10-28-2021,1052_CA4010011_439506_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4010011_439506_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4010011_439506_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4010011_439506_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4010011_439506_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910143,"SAN FERNANDO-CITY, WATER DEPT.",DISTRICT 16 - CENTRAL,LOS ANGELES,5269,NICK KIMBALL,nkimball@sfcity.org,818-898-1202,Application Summary,No,N/A,384,378,131853.33,258386.83,34,35,10669.94,25929.92,284316.75,8529.50,292846.25,292846.25,117 MACNEIL STREET,,"SAN FENANDO, CA 91340",11-10-2021,1052_CA1910143_439724_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910143_439724_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910143_439724_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910143_439724_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910143_439724_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610015,CRESTLINE VILLAGE CWD - DIVISION 10,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,4892,JORDAN DIETZ,jwdietz@cvwater.com,909-338-1727,Application Summary,No,N/A,94,94,58050.00,58050.00,1,1,1190.54,1190.54,59240.54,1777.22,61017.76,61017.76,777 Cottonwood Drive,,"CRESTLINE, CA 92325",10-15-2021,1052_CA3610015_439627_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610015_439627_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610015_439627_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610015_439627_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610015_439627_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610025,JOSHUA BASIN WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,4727,MARK BAN,mban@jbwd.com,760-366-8438,Application Summary,No,N/A,373,478,104686.27,229060.59,152,185,75049.57,98379.12,327439.71,9823.19,337262.90,337262.9,P.O. Box 675,,"JOSHUA TREE, CA 92252",11-15-2021,1052_CA3610025_439330_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610025_439330_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610025_439330_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610025_439330_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610025_439330_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4310018,CITY OF CUPERTINO,DISTRICT 17 - SANTA CLARA,SANTA CLARA,4606,FRANCOIS RODIGARI,Francois.Rodigari@sjwater.com,408-279-7967,Application Summary,No,N/A,239,211,93601.00,90569.14,14,12,4774.00,4748.08,95317.22,2859.52,98176.74,98176.74,1221 A South Bascom Avenue,,"SAN JOSE, CA 95128",11-01-2021,1052_CA4310018_439336_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4310018_439336_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4310018_439336_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4310018_439336_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4310018_439336_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1210006,"FORTUNA, CITY OF",DISTRICT 01 - KLAMATH,HUMBOLDT,4581,CHRISTOPHER CHRISTIANSON,cchristianson@ci.fortuna.ca.us,707-725-1476,Application Summary,No,N/A,71,6,2475.04,3154.08,0,1,0.00,293.11,3447.19,103.42,3550.61,3550.61,PO Box 545,,"FORTUNA, CA 95540",10-19-2021,1052_CA1210006_439281_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1210006_439281_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1210006_439281_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1210006_439281_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1210006_439281_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4910005,"HEALDSBURG, CITY OF",DISTRICT 18 - SONOMA,SONOMA,4532,TERRY CROWLEY,tcrowley@ci.healdsburg.ca.us,707-431-3346,Application Summary,No,N/A,187,166,70599.00,61882.48,18,13,56044.00,34996.74,96879.22,2906.38,99785.60,99785.6,401 Grove Street,,"HEALDSBURG, CA 95448",11-02-2021,1052_CA4910005_439798_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4910005_439798_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4910005_439798_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4910005_439798_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4910005_439798_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
1910063,LINCOLN AVENUE WATER CO.,DISTRICT 16 - CENTRAL,LOS ANGELES,4476,JENNIFER BETANCOURT,jennifer@lawc.org,626-798-9101,Application Summary,No,N/A,331,170,121458.61,101473.54,0,0,0.00,0,101473.54,3044.21,104517.75,104517.75,564 W. HARRIET STREET,,"ALTADENA, CA 91001",10-07-2021,1052_CA1910063_439263_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA1910063_439263_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA1910063_439263_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA1910063_439263_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA1910063_439263_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
